match,rally,stroke,stroke_type,merged_type,class_id
1,1,5,Bottom-Block,Bottom-Block,0
1,2,17,Bottom-Block,Bottom-Block,0
1,6,9,Bottom-Block,Bottom-Block,0
1,7,5,Bottom-Block,Bottom-Block,0
1,7,9,Bottom-Block,Bottom-Block,0
1,8,20,Bottom-Block,Bottom-Block,0
1,8,22,Bottom-Block,Bottom-Block,0
1,10,10,Bottom-Block,Bottom-Block,0
1,10,18,Bottom-Block,Bottom-Block,0
1,11,10,Bottom-Block,Bottom-Block,0
1,13,9,Bottom-Block,Bottom-Block,0
1,13,29,Bottom-Block,Bottom-Block,0
1,14,3,Bottom-Block,Bottom-Block,0
1,14,5,Bottom-Block,Bottom-Block,0
1,15,5,Bottom-Block,Bottom-Block,0
1,19,22,Bottom-Block,Bottom-Block,0
1,20,10,Bottom-Block,Bottom-Block,0
1,20,20,Bottom-Block,Bottom-Block,0
1,21,9,Bottom-Block,Bottom-Block,0
1,27,9,Bottom-Block,Bottom-Block,0
1,29,9,Bottom-Block,Bottom-Block,0
1,34,5,Bottom-Block,Bottom-Block,0
1,38,15,Bottom-Block,Bottom-Block,0
1,38,17,Bottom-Block,Bottom-Block,0
1,40,11,Bottom-Block,Bottom-Block,0
1,40,31,Bottom-Block,Bottom-Block,0
1,43,4,Bottom-Block,Bottom-Block,0
1,44,4,Bottom-Block,Bottom-Block,0
1,48,7,Bottom-Block,Bottom-Block,0
1,49,7,Bottom-Block,Bottom-Block,0
1,50,5,Bottom-Block,Bottom-Block,0
1,61,4,Bottom-Block,Bottom-Block,0
1,64,48,Bottom-Block,Bottom-Block,0
1,64,52,Bottom-Block,Bottom-Block,0
1,65,4,Bottom-Block,Bottom-Block,0
1,65,6,Bottom-Block,Bottom-Block,0
1,65,8,Bottom-Block,Bottom-Block,0
1,66,4,Bottom-Block,Bottom-Block,0
1,69,12,Bottom-Block,Bottom-Block,0
1,69,16,Bottom-Block,Bottom-Block,0
1,70,4,Bottom-Block,Bottom-Block,0
1,70,8,Bottom-Block,Bottom-Block,0
1,70,12,Bottom-Block,Bottom-Block,0
1,71,19,Bottom-Block,Bottom-Block,0
1,71,23,Bottom-Block,Bottom-Block,0
2,1,4,Bottom-Block,Bottom-Block,0
2,2,4,Bottom-Block,Bottom-Block,0
2,2,10,Bottom-Block,Bottom-Block,0
2,2,12,Bottom-Block,Bottom-Block,0
2,2,14,Bottom-Block,Bottom-Block,0
2,5,7,Bottom-Block,Bottom-Block,0
2,6,4,Bottom-Block,Bottom-Block,0
2,6,12,Bottom-Block,Bottom-Block,0
2,7,5,Bottom-Block,Bottom-Block,0
2,7,9,Bottom-Block,Bottom-Block,0
2,7,13,Bottom-Block,Bottom-Block,0
2,8,7,Bottom-Block,Bottom-Block,0
2,8,13,Bottom-Block,Bottom-Block,0
2,9,18,Bottom-Block,Bottom-Block,0
2,11,6,Bottom-Block,Bottom-Block,0
2,11,8,Bottom-Block,Bottom-Block,0
2,14,13,Bottom-Block,Bottom-Block,0
2,14,21,Bottom-Block,Bottom-Block,0
