match,stroke,event,stroke_type,merged_type,start_frame,end_frame,dataset,class_id
1,2,3,HFL,HFL,25857,25877,Train,0
1,14,26,HFL,HFL,30804,30827,Train,0
1,21,38,HFL,HFL,32725,32743,Train,0
1,23,42,HFL,HFL,32774,32806,Train,0
1,26,47,HFL,HFL,33800,33844,Train,0
1,30,54,HFL,HFL,34880,34909,Train,0
1,32,58,HFL,HFL,34954,34976,Train,0
1,36,66,HFL,HFL,35085,35115,Train,0
1,46,84,HFL,HFL,37580,37609,Train,0
1,56,104,HFL,HFL,37927,37961,Train,0
1,60,111,HFL,HFL,41476,41502,Train,0
1,69,127,HFL,HFL,43320,43340,Train,0
1,71,131,HFL,HFL,43375,43400,Train,0
1,75,138,HFL,HFL,44186,44227,Train,0
1,79,145,HFL,HFL,44950,44969,Train,0
1,88,162,HFL,HFL,47166,47193,Train,0
1,93,170,HFL,HFL,48343,48371,Train,0
1,105,190,HFL,HFL,51839,51855,Train,0
1,109,197,HFL,HFL,52376,52399,Train,0
1,113,204,HFL,HFL,54205,54226,Train,0
1,124,224,HFL,HFL,60886,60907,Train,0
1,128,231,HFL,HFL,61615,61642,Train,0
1,131,236,HFL,HFL,62954,62974,Train,0
1,137,246,HFL,HFL,65154,65174,Train,0
1,139,250,HFL,HFL,65208,65235,Train,0
1,144,259,HFL,HFL,66054,66085,Train,0
1,150,271,HFL,HFL,66266,66298,Train,0
1,158,285,HFL,HFL,69113,69132,Train,0
1,160,289,HFL,HFL,69167,69193,Train,0
1,164,297,HFL,HFL,69299,69325,Train,0
1,168,304,HFL,HFL,70297,70315,Train,0
1,174,315,HFL,HFL,71000,71024,Train,0
1,176,319,HFL,HFL,71047,71083,Train,0
1,183,331,HFL,HFL,75881,75926,Train,0
1,185,335,HFL,HFL,75958,75986,Train,0
1,189,342,HFL,HFL,77053,77087,Train,0
1,197,355,HFL,HFL,80466,80492,Train,0
1,201,362,HFL,HFL,81188,81208,Train,0
1,210,376,HFL,HFL,84148,84166,Train,0
1,214,383,HFL,HFL,84750,84778,Train,0
1,222,397,HFL,HFL,86592,86621,Train,0
1,233,416,HFL,HFL,92221,92243,Val,0
1,238,425,HFL,HFL,93217,93232,Val,0
1,240,429,HFL,HFL,93264,93292,Val,0
1,244,437,HFL,HFL,93391,93421,Val,0
1,246,440,HFL,HFL,94177,94192,Val,0
1,256,457,HFL,HFL,97339,97367,Test,0
1,264,471,HFL,HFL,99322,99341,Test,0
1,275,489,HFL,HFL,102528,102562,Test,0
1,278,494,HFL,HFL,103454,103475,Test,0
1,304,539,HFL,HFL,113005,113027,Test,0
1,306,543,HFL,HFL,113069,113094,Test,0
1,310,550,HFL,HFL,114548,114568,Test,0
1,312,554,HFL,HFL,114605,114630,Test,0
1,317,563,HFL,HFL,115879,115904,Test,0
1,322,572,HFL,HFL,116938,116964,Test,0
1,324,576,HFL,HFL,117005,117034,Test,0
1,328,584,HFL,HFL,117133,117161,Test,0
2,2,3,HFL,HFL,14675,14694,Train,0
2,22,37,HFL,HFL,18994,19023,Train,0
2,26,44,HFL,HFL,19736,19768,Train,0
2,32,55,HFL,HFL,20690,20721,Train,0
2,47,81,HFL,HFL,24547,24587,Train,0
2,51,89,HFL,HFL,24683,24715,Train,0
2,57,99,HFL,HFL,26310,26348,Train,0
2,61,107,HFL,HFL,26452,26476,Train,0
2,64,112,HFL,HFL,27193,27230,Train,0
2,70,123,HFL,HFL,28490,28527,Train,0
2,79,139,HFL,HFL,30192,30218,Train,0
2,88,154,HFL,HFL,34802,34827,Train,0
2,90,158,HFL,HFL,34862,34901,Train,0
2,96,169,HFL,HFL,35988,36015,Train,0
2,99,174,HFL,HFL,36661,36681,Train,0
2,101,178,HFL,HFL,36713,36730,Train,0
2,105,185,HFL,HFL,37995,38031,Train,0
2,116,203,HFL,HFL,40277,40299,Train,0
2,119,208,HFL,HFL,40798,40824,Train,0
2,129,226,HFL,HFL,42375,42409,Train,0
2,133,233,HFL,HFL,43398,43434,Train,0
2,143,250,HFL,HFL,45159,45190,Train,0
